,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_NREP10_tag35_A10,176,159,10,8,6,3,10,6,149,11
RNBC1_NREP10_tag35_A11,919,386,69,25,45,4,69,45,317,29
RNBC1_NREP10_tag35_A12,70,22,11,9,2,2,11,2,11,11
RNBC1_NREP10_tag35_A2,27,14,10,6,5,2,10,5,4,8
RNBC1_NREP10_tag35_A1,6,6,2,2,2,2,2,2,4,4
RNBC1_NREP10_tag35_A3,8926,2176,703,5,702,1,703,702,1473,6
RNBC1_NREP10_tag35_A4,6469,1145,225,16,67,5,225,67,920,21
RNBC1_NREP10_tag35_A5,2116,606,217,21,145,4,217,145,389,25
RNBC1_NREP10_tag35_A6,76,48,27,7,24,4,27,24,21,11
RNBC1_NREP10_tag35_A7,12517,2523,566,9,559,3,566,559,1957,12
RNBC1_NREP10_tag35_A8,1,1,0,0,0,0,0,0,1,0
RNBC1_NREP10_tag35_A9,772,387,166,5,164,2,166,164,221,7
RNBC1_NREP10_tag35_B11,10,8,4,4,4,4,4,4,4,8
RNBC1_NREP10_tag35_B10,3,3,1,1,1,1,1,1,2,2
RNBC1_NREP10_tag35_B12,1750,576,130,3,128,1,130,128,446,4
RNBC1_NREP10_tag35_B1,30,20,8,3,7,2,8,7,12,5
RNBC1_NREP10_tag35_B3,11,7,3,3,0,0,3,0,4,3
RNBC1_NREP10_tag35_B4,6770,1729,603,5,602,1,603,602,1126,6
RNBC1_NREP10_tag35_B5,16,7,4,4,1,1,4,1,3,5
RNBC1_NREP10_tag35_B6,12,11,3,2,3,2,3,3,8,4
RNBC1_NREP10_tag35_B7,70,45,16,4,16,4,16,16,29,8
RNBC1_NREP10_tag35_B8,528,263,43,8,41,4,43,41,220,12
RNBC1_NREP10_tag35_B9,158,68,12,5,12,4,12,12,56,9
RNBC1_NREP10_tag35_C10,19,10,4,3,2,1,4,2,6,4
RNBC1_NREP10_tag35_C11,211,120,25,11,13,2,25,13,95,13
RNBC1_NREP10_tag35_C12,36,21,5,3,3,1,5,3,16,4
RNBC1_NREP10_tag35_C1,21,11,5,5,3,3,5,3,6,8
RNBC1_NREP10_tag35_C5,9,9,2,1,2,1,2,2,7,2
RNBC1_NREP10_tag35_C6,5,4,2,2,1,1,2,1,2,3
RNBC1_NREP10_tag35_C2,1,1,1,1,1,1,1,1,0,2
RNBC1_NREP10_tag35_C4,5,4,3,1,3,1,3,3,1,2
RNBC1_NREP10_tag35_C7,1105,556,85,7,78,2,85,78,471,9
RNBC1_NREP10_tag35_C8,44,22,2,2,2,2,2,2,20,4
RNBC1_NREP10_tag35_C9,387,175,32,7,27,3,32,27,143,10
RNBC1_NREP10_tag35_D10,27,17,6,3,4,1,6,4,11,4
RNBC1_NREP10_tag35_D11,6269,1767,414,7,408,2,414,408,1353,9
RNBC1_NREP10_tag35_D12,241,125,15,10,11,5,15,11,110,15
RNBC1_NREP10_tag35_D1,75,41,9,3,8,2,9,8,32,5
RNBC1_NREP10_tag35_D2,5,4,1,1,1,1,1,1,3,2
RNBC1_NREP10_tag35_D5,127,34,4,2,1,1,4,1,30,3
RNBC1_NREP10_tag35_D4,4,4,2,2,2,2,2,2,2,4
RNBC1_NREP10_tag35_D3,4,4,2,2,2,2,2,2,2,4
