"sample","ASV","reads"
"RNBC1_NREP12_tag37_A4","uniq1",10
"RNBC1_NREP12_tag37_C7","uniq1",1
"RNMB_Foping_BS_P1_tag21_A12","uniq1",1
"RNMB_Foping_BS_P1_tag21_A3","uniq1",900
"RNMB_Foping_BS_P1_tag21_A4","uniq1",1204
"RNMB_Foping_BS_P1_tag21_A5","uniq1",916
"RNMB_Foping_BS_P1_tag21_A7","uniq1",16
"RNMB_Foping_BS_P1_tag21_B1","uniq1",1269
"RNMB_Foping_BS_P1_tag21_B3","uniq1",1073
"RNMB_Foping_BS_P1_tag21_B4","uniq1",969
"RNMB_Foping_BS_P1_tag21_B8","uniq1",25
"RNMB_Foping_BS_P1_tag21_C11","uniq1",1
"RNMB_Foping_BS_P1_tag21_C12","uniq1",1
"RNMB_Foping_BS_P1_tag21_C8","uniq1",3
"RNMB_Foping_BS_P1_tag21_C9","uniq1",3
"RNMB_Foping_BS_P1_tag21_E10","uniq1",2
"RNMB_Foping_BS_P1_tag21_E11","uniq1",3
"RNMB_Foping_BS_P1_tag21_E12","uniq1",3
"RNMB_Foping_BS_P1_tag21_E5","uniq1",1228
"RNMB_Foping_BS_P1_tag21_E8","uniq1",1
"RNMB_Foping_BS_P1_tag21_F4","uniq1",1281
"RNMB_Foping_BS_P1_tag21_F5","uniq1",1262
"RNMB_Foping_BS_P1_tag21_G12","uniq1",5
"RNMB_Foping_BS_P1_tag21_G4","uniq1",1261
"RNMB_Foping_BS_P1_tag21_G7","uniq1",5
"RNMB_Foping_BS_P1_tag21_G8","uniq1",109
"RNMB_Foping_BS_P1_tag21_G9","uniq1",2
"RNMB_Foping_BS_P1_tag21_H3","uniq1",1245
"RNMB_Foping_BS_P1_tag21_H4","uniq1",1153
"RNMB_Foping_BS_P1_tag21_H5","uniq1",1269
"RNMB_Foping_BS_P1_tag21_H6","uniq1",1
"RNMB_Foping_BS_P1_tag21_H8","uniq1",2
"RNMB_Foping_BS_P2_tag24_E8","uniq1",1
"RNMB_Mix_BS_PIX_tag34_C7","uniq1",2
"RNMB_YHM_BS_P1_tag15_A3","uniq1",800
"RNMB_YHM_BS_P1_tag15_A4","uniq1",1136
"RNMB_YHM_BS_P1_tag15_B4","uniq1",460
"RNMB_YHM_BS_P1_tag15_D9","uniq1",1
"RNBC1_NREP12_tag37_A3","uniq10",1
"RNMB_Foping_BS_P1_tag21_A11","uniq10",3
"RNMB_Foping_BS_P1_tag21_A12","uniq10",5
"RNMB_Foping_BS_P1_tag21_C11","uniq10",39
"RNMB_Foping_BS_P1_tag21_C12","uniq10",7
"RNMB_Foping_BS_P1_tag21_E11","uniq10",44
"RNMB_Foping_BS_P1_tag21_E12","uniq10",13
"RNMB_Foping_BS_P1_tag21_F11","uniq10",8
"RNMB_Foping_BS_P1_tag21_G11","uniq10",128
"RNMB_Foping_BS_P1_tag21_G12","uniq10",26
"RNMB_Foping_BS_P1_tag21_H11","uniq10",2
"RNMB_Foping_BS_P2_tag24_A3","uniq10",206
"RNMB_Foping_BS_P2_tag24_A4","uniq10",160
"RNMB_Foping_BS_P2_tag24_A5","uniq10",65
"RNMB_Foping_BS_P2_tag24_A7","uniq10",10
"RNMB_Foping_BS_P2_tag24_B4","uniq10",130
"RNMB_Foping_BS_P2_tag24_B7","uniq10",116
"RNMB_Foping_BS_P2_tag24_D9","uniq10",1
"RNMB_Foping_BS_P2_tag24_E10","uniq10",1
"RNMB_Foping_BS_P2_tag24_E12","uniq10",114
"RNMB_Foping_BS_P2_tag24_E5","uniq10",136
"RNMB_Foping_BS_P2_tag24_E8","uniq10",55
"RNMB_Foping_BS_P2_tag24_F7","uniq10",48
"RNMB_Foping_BS_P2_tag24_G7","uniq10",11
"RNMB_Foping_BS_P2_tag24_H4","uniq10",21
"RNMB_Foping_BS_P2_tag24_H8","uniq10",8
"RNMB_Mix_BS_PIX_tag34_B8","uniq10",7
"RNMB_Mix_BS_PIX_tag34_C7","uniq10",21
"RNMB_Mix_BS_PIX_tag34_C8","uniq10",7
"RNMB_Mix_BS_PIX_tag34_E7","uniq10",1
"RNMB_Mix_BS_PIX_tag34_F7","uniq10",2
"RNMB_meicity_BS_P2_tag42_A3","uniq10",1
"RNMB_meicity_BS_P2_tag42_B4","uniq10",1
"RNBC1_NREP9_tag33_A7","uniq100",1270
"RNMB_Foping_BS_P2_tag24_A7","uniq100",1
"RNMB_Foping_BS_P1_tag21_F11","uniq1000",165
"RNMB_Mix_BS_PIX_tag34_C7","uniq1000",1
"RNMB_Mix_BS_PIX_tag34_C8","uniq1000",1
"RNBC1_NREP1_tag17_B7","uniq10007",5
"RNMB_Foping_BS_P1_tag21_F8","uniq1001",7
"RNMB_Foping_BS_P1_tag21_G11","uniq1001",1
"RNMB_Foping_BS_P1_tag21_G8","uniq1001",42
"RNMB_Foping_BS_P1_tag21_H8","uniq1001",15
"RNMB1_FXBSP1_tag08_C9","uniq1002",1
"RNMB1_FXBSP2_tag18_D12","uniq1002",84
