"sample","filotu","reads"
"RNBC1_NREP12_tag37_A4","otu1",5
"RNBC1_NREP12_tag37_A5","otu1",9
"RNBC1_NREP12_tag37_H6","otu1",1
"RNBC1_NREP1_tag17_D11","otu1",1
"RNMB_Foping_BS_P1_tag21_A1","otu1",1224
"RNMB_Foping_BS_P1_tag21_A11","otu1",1
"RNMB_Foping_BS_P1_tag21_A12","otu1",1
"RNMB_Foping_BS_P1_tag21_A3","otu1",859
"RNMB_Foping_BS_P1_tag21_A4","otu1",1187
"RNMB_Foping_BS_P1_tag21_A5","otu1",911
"RNMB_Foping_BS_P1_tag21_A7","otu1",10
"RNMB_Foping_BS_P1_tag21_B1","otu1",1273
"RNMB_Foping_BS_P1_tag21_B12","otu1",3
"RNMB_Foping_BS_P1_tag21_B3","otu1",1082
"RNMB_Foping_BS_P1_tag21_B4","otu1",958
"RNMB_Foping_BS_P1_tag21_B5","otu1",1224
"RNMB_Foping_BS_P1_tag21_B7","otu1",1
"RNMB_Foping_BS_P1_tag21_B8","otu1",24
"RNMB_Foping_BS_P1_tag21_C1","otu1",1252
"RNMB_Foping_BS_P1_tag21_C12","otu1",1
"RNMB_Foping_BS_P1_tag21_C3","otu1",1263
"RNMB_Foping_BS_P1_tag21_C8","otu1",1
"RNMB_Foping_BS_P1_tag21_C9","otu1",3
"RNMB_Foping_BS_P1_tag21_D1","otu1",1261
"RNMB_Foping_BS_P1_tag21_D4","otu1",1257
"RNMB_Foping_BS_P1_tag21_D5","otu1",1126
"RNMB_Foping_BS_P1_tag21_E10","otu1",3
"RNMB_Foping_BS_P1_tag21_E11","otu1",2
"RNMB_Foping_BS_P1_tag21_E12","otu1",1
"RNMB_Foping_BS_P1_tag21_E5","otu1",1220
"RNMB_Foping_BS_P1_tag21_E7","otu1",19
"RNMB_Foping_BS_P1_tag21_E8","otu1",1
"RNMB_Foping_BS_P1_tag21_F11","otu1",1
"RNMB_Foping_BS_P1_tag21_F3","otu1",1223
"RNMB_Foping_BS_P1_tag21_F4","otu1",1269
"RNMB_Foping_BS_P1_tag21_F5","otu1",1261
"RNMB_Foping_BS_P1_tag21_F9","otu1",1
"RNMB_Foping_BS_P1_tag21_G12","otu1",4
"RNMB_Foping_BS_P1_tag21_G4","otu1",1260
"RNMB_Foping_BS_P1_tag21_G6","otu1",2
"RNMB_Foping_BS_P1_tag21_G7","otu1",5
"RNMB_Foping_BS_P1_tag21_G8","otu1",92
"RNMB_Foping_BS_P1_tag21_H1","otu1",1215
"RNMB_Foping_BS_P1_tag21_H11","otu1",1
"RNMB_Foping_BS_P1_tag21_H3","otu1",1244
"RNMB_Foping_BS_P1_tag21_H4","otu1",1149
"RNMB_Foping_BS_P1_tag21_H5","otu1",1252
"RNMB_Foping_BS_P1_tag21_H6","otu1",1
"RNMB_Foping_BS_P1_tag21_H7","otu1",3
"RNMB_Foping_BS_P1_tag21_H8","otu1",1
"RNMB_Foping_BS_P1_tag21_H9","otu1",3
"RNMB_Foping_BS_P2_tag24_A1","otu1",1
"RNMB_Foping_BS_P2_tag24_B4","otu1",1
"RNMB_Foping_BS_P2_tag24_E12","otu1",1
"RNMB_Foping_BS_P2_tag24_F9","otu1",1
"RNMB_Foping_BS_P2_tag24_G8","otu1",1
"RNMB_Foping_BS_P2_tag24_G9","otu1",1
"RNMB_Foping_BS_P2_tag24_H5","otu1",1
"RNMB_Foping_BS_P2_tag24_H6","otu1",1
"RNMB_Foping_BS_P3_tag26_D9","otu1",4
"RNMB_YHM_BS_P1_tag15_A3","otu1",768
"RNMB_YHM_BS_P1_tag15_A4","otu1",1145
"RNMB_YHM_BS_P1_tag15_B4","otu1",529
"RNMB_YHM_BS_P1_tag15_E10","otu1",1
"RNMB_YHM_BS_P1_tag15_H10","otu1",1
"RNMB_YHM_BS_P1_tag15_H11","otu1",1
"RNMB_YHM_BS_P1_tag15_H4","otu1",375
"RNMB_YHM_BS_P1_tag15_H6","otu1",1
"RNMB_YHM_BS_P2_tag38_E5","otu1",2
"RNMB_meicity_BS_P2_tag42_A4","otu1",1
"RNBC1_NREP12_tag37_A3","otu10",2
"RNBC1_NREP12_tag37_A4","otu10",6
"RNBC1_NREP12_tag37_A5","otu10",6
"RNBC1_NREP12_tag37_C7","otu10",1
"RNMB1_FXBSP2_tag18_A3","otu10",25
"RNMB1_FXBSP2_tag18_B12","otu10",283
"RNMB1_FXBSP2_tag18_B4","otu10",91
"RNMB1_FXBSP2_tag18_C1","otu10",1
"RNMB1_FXBSP2_tag18_C2","otu10",18
"RNMB1_FXBSP2_tag18_D4","otu10",12
"RNMB1_FXBSP2_tag18_E1","otu10",81
"RNMB1_FXBSP2_tag18_F2","otu10",74
"RNMB1_FXBSP2_tag18_H1","otu10",104
