"sample","unf_otu","reads"
"RNBC1_NREP12_tag37_A1","unf_otu1",1
"RNBC1_NREP12_tag37_A4","unf_otu1",8
"RNBC1_NREP12_tag37_A5","unf_otu1",6
"RNMB_Foping_BS_P1_tag21_A1","unf_otu1",1196
"RNMB_Foping_BS_P1_tag21_A11","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_A3","unf_otu1",830
"RNMB_Foping_BS_P1_tag21_A4","unf_otu1",1153
"RNMB_Foping_BS_P1_tag21_A5","unf_otu1",827
"RNMB_Foping_BS_P1_tag21_A6","unf_otu1",1143
"RNMB_Foping_BS_P1_tag21_A7","unf_otu1",14
"RNMB_Foping_BS_P1_tag21_B1","unf_otu1",1262
"RNMB_Foping_BS_P1_tag21_B12","unf_otu1",3
"RNMB_Foping_BS_P1_tag21_B3","unf_otu1",1051
"RNMB_Foping_BS_P1_tag21_B4","unf_otu1",922
"RNMB_Foping_BS_P1_tag21_B5","unf_otu1",1210
"RNMB_Foping_BS_P1_tag21_B7","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_B8","unf_otu1",15
"RNMB_Foping_BS_P1_tag21_C1","unf_otu1",1245
"RNMB_Foping_BS_P1_tag21_C11","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_C3","unf_otu1",1244
"RNMB_Foping_BS_P1_tag21_C9","unf_otu1",2
"RNMB_Foping_BS_P1_tag21_D1","unf_otu1",1252
"RNMB_Foping_BS_P1_tag21_D4","unf_otu1",1241
"RNMB_Foping_BS_P1_tag21_D5","unf_otu1",1099
"RNMB_Foping_BS_P1_tag21_D7","unf_otu1",4
"RNMB_Foping_BS_P1_tag21_E10","unf_otu1",3
"RNMB_Foping_BS_P1_tag21_E11","unf_otu1",4
"RNMB_Foping_BS_P1_tag21_E12","unf_otu1",3
"RNMB_Foping_BS_P1_tag21_E5","unf_otu1",1200
"RNMB_Foping_BS_P1_tag21_E7","unf_otu1",16
"RNMB_Foping_BS_P1_tag21_E8","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_F11","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_F3","unf_otu1",1174
"RNMB_Foping_BS_P1_tag21_F4","unf_otu1",1238
"RNMB_Foping_BS_P1_tag21_F5","unf_otu1",1251
"RNMB_Foping_BS_P1_tag21_F9","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_G12","unf_otu1",4
"RNMB_Foping_BS_P1_tag21_G4","unf_otu1",1242
"RNMB_Foping_BS_P1_tag21_G6","unf_otu1",2
"RNMB_Foping_BS_P1_tag21_G7","unf_otu1",5
"RNMB_Foping_BS_P1_tag21_G8","unf_otu1",103
"RNMB_Foping_BS_P1_tag21_H1","unf_otu1",1177
"RNMB_Foping_BS_P1_tag21_H11","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_H12","unf_otu1",2
"RNMB_Foping_BS_P1_tag21_H3","unf_otu1",1188
"RNMB_Foping_BS_P1_tag21_H4","unf_otu1",1094
"RNMB_Foping_BS_P1_tag21_H5","unf_otu1",1217
"RNMB_Foping_BS_P1_tag21_H6","unf_otu1",3
"RNMB_Foping_BS_P1_tag21_H7","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_H8","unf_otu1",1
"RNMB_Foping_BS_P1_tag21_H9","unf_otu1",1
"RNMB_Foping_BS_P2_tag24_A1","unf_otu1",1
"RNMB_Foping_BS_P2_tag24_A4","unf_otu1",2
"RNMB_Foping_BS_P2_tag24_F9","unf_otu1",1
"RNMB_Foping_BS_P2_tag24_H3","unf_otu1",1
"RNMB_Foping_BS_P3_tag26_D9","unf_otu1",5
"RNMB_Mix_BS_PIX_tag34_C7","unf_otu1",2
"RNMB_YHM_BS_P1_tag15_A3","unf_otu1",742
"RNMB_YHM_BS_P1_tag15_A4","unf_otu1",1030
"RNMB_YHM_BS_P1_tag15_B4","unf_otu1",507
"RNMB_YHM_BS_P1_tag15_C11","unf_otu1",1
"RNMB_YHM_BS_P1_tag15_C12","unf_otu1",2
"RNMB_YHM_BS_P1_tag15_C7","unf_otu1",1
"RNMB_YHM_BS_P1_tag15_D12","unf_otu1",1
"RNMB_YHM_BS_P1_tag15_G6","unf_otu1",1
"RNMB_YHM_BS_P1_tag15_H11","unf_otu1",1
"RNMB_YHM_BS_P1_tag15_H4","unf_otu1",330
"RNMB_YHM_BS_P1_tag15_H6","unf_otu1",3
"RNMB_YHM_BS_P2_tag38_D12","unf_otu1",1
"RNMB_meicity_BS_P2_tag42_B4","unf_otu1",1
"RNBC1_NREP12_tag37_A4","unf_otu10",6
"RNBC1_NREP12_tag37_A5","unf_otu10",3
"RNBC1_NREP12_tag37_C7","unf_otu10",1
"RNBC1_NREP12_tag37_G11","unf_otu10",1
"RNMB1_FXBSP2_tag18_A3","unf_otu10",20
"RNMB1_FXBSP2_tag18_B12","unf_otu10",246
"RNMB1_FXBSP2_tag18_B4","unf_otu10",83
"RNMB1_FXBSP2_tag18_C1","unf_otu10",2
"RNMB1_FXBSP2_tag18_C2","unf_otu10",11
"RNMB1_FXBSP2_tag18_D4","unf_otu10",12
"RNMB1_FXBSP2_tag18_E1","unf_otu10",71
"RNMB1_FXBSP2_tag18_F2","unf_otu10",80
"RNMB1_FXBSP2_tag18_H1","unf_otu10",102
"RNMB1_FXBSP2_tag18_H3","unf_otu10",47
"RNMB_Foping_BS_P1_tag21_A12","unf_otu10",12
"RNMB_Foping_BS_P1_tag21_C11","unf_otu10",250
"RNMB_Foping_BS_P1_tag21_C12","unf_otu10",4
"RNMB_Foping_BS_P1_tag21_D5","unf_otu10",1
"RNMB_Foping_BS_P1_tag21_E11","unf_otu10",224
"RNMB_Foping_BS_P1_tag21_E12","unf_otu10",54
"RNMB_Foping_BS_P1_tag21_F11","unf_otu10",20
