"sample","location","trap","sizeclass","bodypart","nparts","plate_contents"
"RNMB_Foping_BS_P1_tag21_A1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H1","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H2","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H3","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H4","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H5","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A6","Foping","FIT",3,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B6","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C6","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D6","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E6","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F6","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G6","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H6","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H7","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A8","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B8","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C8","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D8","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E8","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F8","Foping","FIT",2,"leg",35,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G8","Foping","FIT",2,"head",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H8","Foping","FIT",2,"leg",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A9","Foping","FIT",1,"leg",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B9","Foping","FIT",1,"leg",16,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C9","Foping","MT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D9","Foping","L/N",2,"leg",100,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E9","Foping","L/N",2,"leg",69,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F9","Foping","Pit",1,"leg",17,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G9","Foping","Pit",1,"leg",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H9","Foping","Pit",2,"leg",44,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A10","Foping","Pit",3,"leg",101,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B10","Foping","Pit",4,"head",68,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C10","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D10","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E10","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F10","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G10","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H10","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A11","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B11","Foping","FIT",5,"whole body",25,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C11","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D11","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E11","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F11","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G11","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H11","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_A12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_B12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_C12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H12","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H1","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H2","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H3","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H4","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H5","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A6","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B6","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C6","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D6","Foping","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E6","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F6","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G6","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H6","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H7","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H8","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H9","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H10","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H11","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A12","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B12","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C12","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D12","Foping","FIT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E12","Foping","FIT",6,"whole body",12,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F12","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G12","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H12","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H1","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A2","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B2","Foping","FIT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C2","Foping","FIT",7,"whole body",16,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D2","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E2","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F2","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G2","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H2","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A3","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B3","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C3","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D3","Foping","MT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E3","Foping","MT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F3","Foping","MT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G3","Foping","MT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H3","Foping","MT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A4","Foping","MT",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B4","Foping","MT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C4","Foping","MT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D4","Foping","MT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E4","Foping","MT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F4","Foping","MT",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G4","Foping","MT",7,"whole body",18,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H4","Foping","L/N",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A5","Foping","L/N",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B5","Foping","L/N",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C5","Foping","L/N",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D5","Foping","L/N",6,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E5","Foping","L/N",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F5","Foping","L/N",7,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G5","Foping","Pit",5,"whole body",33,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H5","Foping","Pit",6,"whole body",5,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A6","Foping","L/N",1,"leg",25,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B6","Foping","L/N",1,"leg",25,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C6","Foping","L/N",1,"leg",14,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D6","Foping","L/N",3,"head",39,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E6","Foping","L/N",3,"leg",35,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F6","Foping","L/N",4,"head",26,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G6","Foping","L/N",4,"head",31,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H6","Foping","L/N",4,"head",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A7","Foping","L/N",4,"head",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B7","Foping","L/N",4,"head",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C7","Foping","Pit",1,"leg",7,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D7","Foping","Pit",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E7","Foping","Pit",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F7","Foping","Pit",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G7","Foping","Pit",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H7","Foping","Pit",4,"head and thorax",44,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A8","Foping","Pit",3,"leg",82,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B8","Foping","Pit",3,"head",29,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C8","Foping","MT",4,"head",11,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D8","Foping","MT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E8","Foping","MT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F8","Foping","MT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G8","Foping","MT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H8","Foping","MT",4,"head",11,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A9","Foping","MT",3,"head",21,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B9","Foping","FIT",3,"leg",150,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C9","Foping","FIT",3,"leg",150,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D9","Foping","FIT",3,"leg",150,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E9","Foping","FIT",3,"leg",150,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F9","Foping","FIT",3,"leg",150,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G9","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H9","Foping","FIT",4,"head and thorax",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A10","Foping","L/N",4,"leg",25,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B10","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C10","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D10","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E10","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F10","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G10","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H10","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A11","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B11","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C11","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D11","Meicity","FIT",5,"whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E11","Meicity","FIT",5,"whole body",50,"Foping samples only"
