ID,a_hol,h_hol,AIC_hol,BIC_hol,R_hol,a_gen,h_gen,q_gen,AIC_gen,BIC_gen,R_gen,a_hol_I,AIC_hol_I,BIC_hol_I,R_hol_I,p3_c0,p3_c1,p3_c2,p3_c3,AIC_p3,BIC_p3,R_p3,p2_c0,p2_c1,p2_c2,AIC_p2,BIC_p2,R_p2
2,5.230514810605769e-06,2894.6170085938843,-83.33666030145207,-84.5640715792123,0.95887385367481,,,,,,,1.5348165118833634e-06,-75.75756730249145,-76.37127294137156,0.5838530052485067,-1.1293159785338637e-05,3.7915326573259677e-06,-1.2169531359727023e-08,-2.8594471850703968e-12,-349.1928130263062,-351.64763558182665,1.0,-1.18627023254238e-05,3.843145745121052e-06,-1.297416076136472e-08,-115.76831248745381,-117.60942940409414,0.9999924754249773
3,1.2149608391132105e-05,3036.4118105102402,-91.64720476452152,-92.87461604228174,0.9942521264047726,7.159655565969203e-06,3273.3690805921424,0.1969026672030687,-95.68695533197591,-97.52807224861624,0.9987299331563235,1.957166725130577e-06,-72.67685309431059,-73.2905587331907,0.1778014248721218,9.124784788585593e-06,7.603841402902773e-06,-7.821057344805056e-08,2.464455334884289e-10,-341.3461790022124,-343.80100155773283,1.0,4.323094688506179e-05,3.908990751384413e-06,-1.4329138929932664e-08,-81.87816373054748,-83.71928064718782,0.9599043226245202
6,7.933053946418411e-06,2533.888207682752,-620.8238276601128,-617.8923558545133,0.549088766237575,3.299442218107629e-06,3625.4782982180363,0.36116305297628637,-619.0491243684871,-614.651916660088,0.5522069410230666,4.3780913403512756e-06,-618.9587869299492,-617.4930510271495,0.49481851923721354,1.7349053407190528e-05,8.489073979236635e-07,2.5559871969063466e-07,-4.050976780239685e-09,-617.7025385688157,-611.8395949576168,0.5612366262388356,-6.3258550502858136e-06,7.366953402915939e-06,-6.714569803514534e-08,-619.2235620681255,-614.8263543597263,0.5546198124453168
71,1.3751039485532246e-05,1475.0074812069602,-110.63597594676504,-111.05245700830893,0.6447555987069666,4.7577213280192154e-09,2968.5966492106645,2.8932862128551737,-111.20184658035575,-111.82656817267159,0.7681189431660137,7.273939026664067e-06,-110.31564230968051,-110.52388284045246,0.48547929050149286,-0.0003769320424542921,5.384596777414605e-05,-1.4088368270230008e-06,1.1918904052800024e-08,-109.21340922456102,-110.0463713476488,0.7685175477612701,-9.00772919013533e-05,1.7411930190554645e-05,-1.6991785073969813e-07,-109.58135299942703,-110.20607459174286,0.6961562948976584
79,1.8730075684647574e-05,2028.068012368215,-205.26345382122182,-204.65828363523372,0.9121827767058653,4.4088083912541265e-06,2441.314055176083,0.538864539396646,-206.06613174619008,-205.15837646720794,0.9336360829119316,4.7252926462793e-06,-180.29635554158074,-179.9937704485867,-0.004525177309068429,4.857711365437143e-05,8.508196047626645e-06,-5.809381697308776e-08,7.014102788042126e-11,-208.45617321959364,-207.24583284761746,0.9572160838435904,5.646894753448522e-05,7.819283805064032e-06,-4.4563801454021876e-08,-210.34919905876848,-209.44144377978634,0.956755949755865
140,0.0022816666316327616,3.325441747395942,-51.11523644232609,-51.531717503869984,0.9820763513809453,,,,,,,0.00044620054454780345,-30.134361330437876,-30.342601861209822,0.3759962622362293,0.034679372871926475,0.0009646011849822137,-1.367454344414481e-06,6.145572770170235e-10,-50.70298254084064,-51.53594466392842,0.9901415208906106,0.041100524960686106,0.0008048056804216779,-7.169346357886417e-07,-51.59142907190889,-52.21615066422473,0.9881350245631672
351,0.0005065205149925589,4.893019323048975e-10,-46.705009113890426,-44.61596423844358,0.956516910714641,4.0287124075444325e-05,4.893019323048975e-10,0.27525212661577014,-56.37694180729871,-53.24337449412844,0.9751135356682495,0.0005065205143102158,-48.70500925855234,-47.660486820828915,0.9565169110145655,-0.022693472874776455,0.0007604190347496866,-1.5864273978623968e-07,1.1369432917434218e-11,-72.8875578504761,-68.70946809958241,0.9896627887636215,0.0978104743138018,0.0002440164264914548,2.343513432448954e-08,-64.11780271570339,-60.98423540253312,0.9827364799247765
445,9.178683091359829e-07,1.4022376597644381e-06,-95.39255895899517,-96.61997023675539,0.988328486275221,2.6892439075609786e-07,1532.5346699266038,0.2986417379077002,-99.11116098171141,-100.95227789835174,0.9972027157437615,9.178682665034188e-07,-97.39255896555004,-98.00626460443014,0.9883284862096501,7.384400000000002e-05,-2.0535733333333353e-06,3.416640000000003e-08,-1.166506666666668e-10,-355.74324818390943,-358.19807073942985,1.0,-9.667272727272746e-06,1.0111578181818186e-06,-3.345454545454801e-11,-98.64434768703107,-100.4854646036714,0.9968564492468068
450,9.169298646805046e-06,14142.037127724605,-146.95376749056277,-147.37024855210666,0.9483870808405739,9.170273815639618e-06,14143.111661369203,3.023481909281145e-08,-144.9537670613796,-145.57848865369544,0.9483870640527811,3.078684213342342e-06,-137.51243673368361,-137.72067726445556,0.6830980533031852,6.623718414941817e-07,8.7813349892174e-06,-7.139165328928439e-07,2.0666526543091996e-08,-154.54136155314606,-155.37432367623384,0.9925168418724505,9.58301031117377e-06,3.3504430615118696e-06,-5.779208840616243e-08,-143.79487570021814,-144.41959729253398,0.9373809702662443
687,1.9961937287593656e-05,7560.93540020221,-1299.2053045904247,-1295.0166154659805,0.7736468472820089,6.7579757458968714e-06,9434.355364919631,0.9068487240289942,-1307.67814774976,-1301.3951140630936,0.8097070449884092,4.210721171071796e-06,-1226.2715094824066,-1224.1771649201844,0.3235770971145372,-7.984053805073261e-06,1.745529683152749e-05,-8.884444329431658e-07,1.4032876002339982e-08,-1306.9131961404055,-1298.5358178915171,0.8135342104540519,5.649586874999997e-06,1.012709132956038e-05,-2.25153388287402e-07,-1300.9414119394692,-1294.6583782528028,0.7870386149980819
